id,cannon_teff,cannon_logg,cannon_m_h,cannon_alpha_m,cannon_teff_err,cannon_logg_err,cannon_m_h_err,cannon_alpha_m_err,cannon_red_chisq,ra,dec,snrg,codeindex,GAL_LONG,GAL_LAT,_r,recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,u_e_Vmag,Bmag,e_Bmag,u_e_Bmag,g'mag,e_g'mag,u_e_g'mag,r'mag,e_r'mag,u_e_r'mag,i'mag,e_i'mag,u_e_i'mag,Separation
spec-55940-GAC_071N52_V3_sp12-022.fits,4451.88534951,1.81386396795,-0.191736795946,0.0675458150564,41.2106180404,0.111310871132,0.0582890600368,0.0187805326081,0.374105950479452,73.603608,53.774603,6.829999923706055,33817,154.1822443509626,6.361661220981273,4.2e-05,1859034,73.603538,53.77461,0.553,0.359,20152267,4,19,2.09,0.124,13.945,0.038,0,16.035,0.118,0,14.98,0.015,0,13.084,0.034,0,12.111,0.062,0,4.195550123216514e-05
spec-56589-GAC078N51V1_sp02-150.fits,4961.60017349,2.85211712661,-0.465444529654,0.0670551002143,64.0119497378,0.127378603331,0.075584146103,0.0234649667868,0.27294756142937854,76.466411,49.623908,15.710000038146973,276285,158.57267321892311,5.226126227103094,6.7e-05,1694012,76.466317,49.623881,0.623,0.297,20122182,5,23,1.324,0.081,13.46,0.042,0,14.784,0.069,0,14.074,0.016,0,12.993,0.032,0,12.445,0.033,0,6.661086709715435e-05
spec-56589-GAC078N51V1_sp02-130.fits,4857.0018147,2.50420417307,-0.25408081401,0.120552103949,30.3723098777,0.0750717290285,0.038254222498,0.0144985324851,0.34334669841573034,76.52809,49.823628,25.6299991607666,276283,158.4360192359478,5.377662167475748,6.8e-05,1694086,76.528013,49.823581,0.256,0.13,20122182,5,23,1.461,0.064,12.939,0.036,0,14.4,0.053,0,13.597,0.029,0,12.414,0.036,0,11.828,0.036,0,6.838644470033597e-05
spec-56589-GAC078N51V1_sp02-017.fits,3879.69939523,0.956488265886,-0.722379664676,0.0574276272266,20.7990781449,0.0525007329527,0.0359072089202,0.012111768138,0.5404823552212918,76.919146,49.498619,15.619999885559082,276280,158.84969373709444,5.386902213526548,6.8e-05,1746233,76.919245,49.498597,0.319,0.207,20122182,5,23,1.907,0.054,13.012,0.034,0,14.919,0.042,0,13.917,0.035,0,12.286,0.035,0,11.413,0.041,0,6.795681046987147e-05
spec-56589-GAC078N51V3_sp15-207.fits,4697.65475652,2.60770219318,-0.343287372023,0.263384623875,18.9808559112,0.0428856714805,0.0235564123091,0.00925297994023,1.0266735135001412,77.691893,52.646751,47.29999923706055,276856,156.5764666453978,7.633166892820162,1.6e-05,1793878,77.691885,52.646736,0.085,0.111,20152268,4,20,1.683,0.085,12.871,0.056,0,14.555,0.064,0,13.678,0.039,0,12.228,0.065,0,11.576,0.071,0,1.5765772137779424e-05
spec-56616-GAC083N57V3_sp16-061.fits,4023.89535743,1.49996646368,-0.223550505146,0.0502533334619,18.1156496137,0.0477479344378,0.0290026376924,0.0124227098495,0.5094055971977862,81.317762,58.98682,19.899999618530273,308746,152.37512489926465,12.851768247010849,5.1e-05,1940245,81.317841,58.986851,0.48,0.367,20152428,5,40,1.846,0.07,12.627,0.059,0,14.473,0.037,0,13.518,0.047,0,11.938,0.067,0,11.19,0.041,0,5.1164247783357966e-05
spec-56699-GAC085N52V3_sp02-163.fits,4344.70614899,1.95134019296,-0.0641305421306,0.102537908486,23.0672944807,0.059071370518,0.0333394826536,0.0141513963091,0.5135809318139937,82.060753,51.320114,16.799999237060547,413947,159.21092500662118,9.117496197163101,1.7e-05,1752096,82.060728,51.320107,0.339,0.317,20122270,7,37,1.641,0.106,13.769,0.06,0,15.409,0.087,0,14.557,0.046,0,13.197,0.019,0,12.592,0.028,0,1.7120635667621194e-05
spec-56641-GAC084N47V1_sp16-227.fits,5087.46106926,3.11846341776,-0.350764681453,0.1130028602,16.732944039,0.0318433179128,0.0189250697596,0.00941918714479,0.7034126679728967,82.351058,49.722141,94.12000274658203,342989,160.67390964325676,8.412528633650233,8.9e-05,1286559,82.350949,49.722086,0.328,0.21,20152183,4,20,1.315,0.062,12.532,0.048,0,13.846,0.039,0,13.174,0.047,0,12.07,0.043,0,11.568,0.058,0,8.939093059226295e-05
spec-56292-GAC089N16V3_sp08-207.fits,4487.42418464,2.15379135859,-0.682752105419,0.0120289865577,34.3880075985,0.0831501063453,0.0492920572449,0.0148061485947,4.346733911630732,89.896202,15.047817,23.65999984741211,140110,193.61688944594007,-4.267726583619436,5.4e-05,24243095,89.896254,15.047838,0.61,0.576,20120833,6,18,1.385,0.044,12.777,0.014,0,14.163,0.042,0,13.435,0.063,0,12.276,0.017,0,11.762,0.029,0,5.443102182255007e-05
spec-55954-GAC_089N11_V1_sp12-045.fits,4858.84461052,2.56506645168,-0.302411223826,0.0980735053358,22.8404113709,0.0563236892657,0.0280951609695,0.0127197055419,0.23938740064299913,90.428357,13.389279,45.40999984741211,40578,195.31992348132255,-4.63376286444919,2e-05,24153295,90.428349,13.389297,0.579,0.216,20120703,9,35,1.172,0.04,12.997,0.036,0,14.169,0.018,0,13.54,0.027,0,12.602,0.073,0,12.123,0.061,0,1.9610408942289086e-05
